_id,nombre,frec,edad_media
77,JOSE GUADALUPE,1174,44.52
78,ISMAEL,1124,43.43
79,TOMAS,1109,46.75
80,HUGO,1050,40.2
81,SAUL,1049,42.31
82,ADRIAN,1040,40.92
83,JORGE ALBERTO,1013,38.9
84,MOISES,996,43.57
85,JOSE ANGEL,981,43.02
86,SANTIAGO,959,45.46
87,ABEL,958,44.44
88,RENE,953,43.23
89,SAMUEL,951,43.41
90,MARIO ALBERTO,927,40.04
91,NOE,885,41.93
92,RAMIRO,882,45.49
93,RIGOBERTO,878,40.99
94,GREGORIO,871,47.11
95,EFRAIN,861,43.59
96,NICOLAS,856,46.52
97,ESTEBAN,847,46.06
98,JOSE FRANCISCO,824,43.84
99,BENJAMIN,811,44.78
100,JOSE ALBERTO,811,39.61
101,ALVARO,809,44.19
102,RAYMUNDO,803,46.41
103,JOSE JUAN,789,41.82
104,RODRIGO,787,41.59
105,OCTAVIO,783,42.73
106,IVAN,768,31.81
107,LUIS ENRIQUE,761,39.31
108,GONZALO,741,46.08
109,ADOLFO,731,45.07
110,MARCOS,729,44.06
111,LORENZO,722,47.53
112,FELIX,721,46.33
113,JULIO,718,45.55
114,FIDEL,712,45.39
115,LEONARDO,710,44.12
116,FELIPE DE JESUS,707,43.35
117,ISIDRO,696,46.39
118,JOAQUIN,684,45.85
119,BENITO,678,46.22
120,GERMAN,669,43.01
121,HERIBERTO,668,43.44
122,JUAN FRANCISCO,665,41.05
123,ABRAHAM,649,40.81
124,EMILIO,611,46.63
125,JULIAN,606,45.79
126,LUIS ANTONIO,597,40.02
127,BERNARDO,587,45.14
128,MAURICIO,587,39.98
129,ADAN,586,42.21
130,AURELIO,574,46.79
131,MARCELINO,569,46.53
132,GENARO,566,46.38
133,MARGARITO,566,47.86
134,FEDERICO,565,46.76
135,LUIS FERNANDO,565,37.86
136,J JESUS,553,50.8
137,JUAN PABLO,550,36.72
138,LEONEL,541,42.25
139,ELIAS,540,45.49
140,DOMINGO,538,46.61
141,GUADALUPE,532,43.38
142,LUIS MANUEL,527,42.01
143,ROLANDO,527,43.22
144,EFREN,526,45.17
145,ULISES,523,35.73
146,HORACIO,514,43.45
147,MANUEL DE JESUS,490,44.07
148,EMMANUEL,487,29.2
149,JESUS MANUEL,471,40.47
150,ROMAN,468,44.66
151,JOSE MARTIN,458,43.95
152,ISAIAS,444,44.54
153,REYNALDO,435,44.4
154,ORLANDO,430,40.03
155,FILIBERTO,427,46.75
156,VALENTIN,427,43.6
157,ELEAZAR,423,45.28
158,ARNULFO,419,46.25
159,HILARIO,418,47.48
160,HECTOR MANUEL,416,42.95
161,LEOPOLDO,414,46.65
162,ELISEO,405,45.42
163,PORFIRIO,403,47.03
164,JESUS ANTONIO,394,39.42
165,FAUSTINO,393,46.7
166,JOSUE,390,36.05
167,JOSE CARLOS,386,40.06
168,JUAN GABRIEL,384,38.49
169,SEBASTIAN,383,44.75
170,JOSE RAMON,382,42.62
171,EZEQUIEL,381,44.79
172,ARTEMIO,377,46.66
173,LAZARO,376,45.92
174,CUAUHTEMOC,375,41.37
175,ROBERTO CARLOS,375,33.28
176,JOSE JESUS,372,46.15
177,MARIANO,365,45.53
178,JORGE ANTONIO,364,41.5
179,J. JESUS,363,49.25
180,DIEGO,355,41.83
181,JOSE MARIA,355,46.1
182,FERMIN,354,44.82
183,LUCIO,350,46.27
184,LEOBARDO,348,44.7
185,ABELARDO,340,43.32
186,ELOY,338,43.6
187,ADALBERTO,334,43.72
188,NORBERTO,334,45.14
189,MAURO,333,45.13
190,DELFINO,331,46.77
191,MARCELO,331,44.38
192,JOSE ARTURO,330,43.95
193,JESUS ALBERTO,329,36.72
194,PASCUAL,329,45.82
195,MISAEL,328,38.2
196,EDMUNDO,326,46.79
197,JUAN LUIS,326,38.84
198,EVERARDO,324,42.98
199,MANUEL JESUS,322,45.37
200,FLORENCIO,318,47.17
201,ISAAC,317,40.08
202,JUAN DE DIOS,316,42.64
203,CLAUDIO,314,43.96
204,JOSE MIGUEL,310,38.11
205,ERICK,307,32.12
206,SALOMON,305,45.36
207,FABIAN,304,38.77
208,CRISTOBAL,303,43.53
209,JUAN ALBERTO,303,39.72
210,FLORENTINO,302,46.89
211,EUSEBIO,301,46.2
212,JOSE EDUARDO,299,37.78
213,AMADO,296,46.75
214,JOSE ALEJANDRO,295,40
215,ROSENDO,295,47.05
216,ERIC,294,36.85
217,JUAN RAMON,290,42.8
218,URIEL,290,35.55
219,FELICIANO,289,47.03
220,FREDY,289,36.78
221,J GUADALUPE,287,50.99
222,JORGE ARTURO,287,40.65
223,EUGENIO,282,47.39
224,HIPOLITO,282,46.64
225,TEODORO,279,49.25
226,CIRILO,278,46.79
227,GILDARDO,277,44.83
228,SANTOS,277,46.81
229,FAUSTO,273,46.47
230,LUCIANO,273,46.75
231,JOSE ROBERTO,269,36.9
232,JUVENTINO,268,46.97
233,LUIS ANGEL,267,33.52
234,HOMERO,266,43.67
235,JOSE ENRIQUE,261,44.3
236,DAGOBERTO,260,44.08
237,JOSE ARMANDO,258,43.49
238,CARLOS ENRIQUE,257,39.63
239,AARON,256,39.64
240,CLEMENTE,255,48.31
241,MAXIMINO,255,47.59
242,LUIS MIGUEL,254,34.19
243,JACINTO,253,46.76
244,DEMETRIO,252,47.49
245,JORGE ARMANDO,252,36.72
246,BALTAZAR,251,46.33
247,SILVESTRE,251,46.5
248,JERONIMO,250,46.08
249,OSVALDO,249,38.15
250,SIMON,248,46.88
251,CARLOS MANUEL,243,42.6
252,GABINO,243,44.46
253,LUIS FELIPE,243,40.6
254,ARIEL,242,44.38
255,MATEO,242,45.99
256,NESTOR,240,41.22
257,NOEL,237,39.76
258,CANDIDO,235,45.94
259,JONATHAN,235,29.11
260,J. GUADALUPE,233,49.92
261,BERNARDINO,232,47.19
262,EMILIANO,232,47.19
263,APOLINAR,231,47.16
264,OSWALDO,230,36.15
265,ALONSO,229,42.05
266,JOSE FERNANDO,223,43.32
267,ERASMO,221,45.25
268,LUIS CARLOS,220,41.37
269,PAULINO,220,46.31
270,JUSTINO,219,46.41
271,JOSE CRUZ,218,45.88
272,JUAN MARTIN,217,44.72
273,LUIS ARMANDO,216,39.53
274,RUFINO,212,46.88
275,ANASTACIO,210,48.39
276,ERIK,209,32.62
277,CONSTANTINO,207,48.1
278,JUAN JESUS,205,40.13
279,LUIS GERARDO,204,38.6
280,UBALDO,204,45.46
281,BERNABE,203,44.64
282,EDILBERTO,203,42.71
283,MANUEL ALEJANDRO,203,30.27
284,CELSO,202,46.94
285,GAUDENCIO,202,46.14
286,LUIS ALFONSO,201,42.8
287,ANSELMO,200,47.02
288,REYES,199,46.42
289,CECILIO,198,46.18
290,JORGE ALEJANDRO,196,37.24
291,JOSE DEL CARMEN,195,44.94
292,DARIO,193,46.28
293,ROSALIO,192,47.53
294,SERVANDO,191,45.76
295,JOSE JAVIER,190,43.56
296,JUAN MIGUEL,190,39
297,CELESTINO,189,44.88
298,SILVERIO,189,46.34
299,ELEUTERIO,186,48.32
300,JOSE RICARDO,186,40.53
301,EVARISTO,185,47.89
302,CIRO,183,48.26
303,ROMEO,183,44.1
304,SABINO,182,47.53
305,FIDENCIO,180,46.54
306,GASPAR,179,45.59
307,CANDELARIO,178,47.03
308,CARLOS ANTONIO,175,39.23
309,EDGARDO,175,38.58
310,HERNAN,174,42.44
311,JOSE TRINIDAD,174,45.93
312,VLADIMIR,174,34.64
313,CESAR AUGUSTO,172,36.94
314,JOSE RAFAEL,172,43.73
315,BONIFACIO,170,47.02
316,LUIS EDUARDO,170,37.15
317,BRAULIO,169,43.81
318,ALDO,168,33.64
319,JORGE ENRIQUE,168,41.64
320,JOSE RAUL,168,43.95
321,PATRICIO,168,46.36
322,EPIFANIO,166,47.6
323,JOSE IGNACIO,164,44.17
324,BENIGNO,163,46.92
325,JUAN GERARDO,163,42.27
326,MANUEL ANTONIO,163,42.75
327,CORNELIO,162,44.29
328,FLAVIO,162,46.01
329,JOSE DANIEL,162,38.7
330,MODESTO,161,47.92
331,JOSE DAVID,160,39.1
332,JOSE GABRIEL,160,43.06
333,CARLOS EDUARDO,159,35.66
334,JACOBO,159,44.14
335,JOSE HUMBERTO,159,44.35
336,LUIS ARTURO,159,39.8
337,CRESCENCIO,158,48.86
338,FORTINO,158,46.82
339,MARCIAL,158,46.92
340,VIRGILIO,158,46.38
341,BULMARO,156,45.54
342,JOSE GERARDO,156,45.97
343,NARCISO,155,46.9
344,SERAFIN,155,47.29
345,WILFRIDO,154,43.63
346,HERMENEGILDO,152,47.59
347,HERMINIO,152,47.57
348,JESUS ENRIQUE,152,41.34
349,CHRISTIAN,150,29.21
350,HERMILO,150,45.76
351,DAMIAN,149,43.45
352,JUAN ENRIQUE,149,41.99
353,MACARIO,149,45.98
354,MAGDALENO,149,48.66
355,LENIN,148,35.83
356,LINO,145,45.56
357,ARNOLDO,144,45.83
358,JUVENAL,143,46.1
359,GAMALIEL,142,37.42
360,HECTOR JAVIER,141,42.71
361,ILDEFONSO,141,48.07
362,HONORIO,140,46.35
363,HUGO ALBERTO,140,35.96
364,JESUS ALEJANDRO,140,34.65
365,NELSON,139,36.12
366,HECTOR HUGO,138,36.71
367,ISIDORO,137,46.79
368,LAURO,137,45.93
369,LUIS JAVIER,136,39.85
370,MAXIMO,136,47.46
371,NEFTALI,136,38.45
372,JOSE ALFONSO,135,45.53
373,LUIS HUMBERTO,135,41.3
374,TEOFILO,135,46.52
375,BARTOLO,134,47.64
376,FILEMON,134,48.33
377,AURELIANO,133,47.85
378,TRINIDAD,133,47.11
379,VIDAL,133,44.98
380,CIPRIANO,132,47.8
381,CRUZ,132,46.68
382,JOSE ISABEL,132,46.31
383,ELIGIO,130,47.08
384,ZEFERINO,130,47.5
385,AMADOR,128,47.52
386,ARISTEO,128,47.95
387,EMIGDIO,126,46.91
388,JORGE EDUARDO,126,37.24
389,JOSE SALVADOR,126,44.35
390,GERONIMO,125,46.34
391,SATURNINO,125,48.13
392,CAMILO,124,45.06
393,JOSE JAIME,124,44.82
394,LUCAS,124,46.5
395,LUIS FRANCISCO,124,39.68
396,VENANCIO,124,46.79
397,VICTORINO,123,45.5
398,ANIBAL,122,40.42
399,CARLOS ARTURO,122,40.33
400,JORGE HUMBERTO,122,43.33
401,JOSE MARIO,122,46.98
402,JUAN DIEGO,122,39.06
403,CARLOS JAVIER,121,41.51
404,EULALIO,121,47.26
405,DIONICIO,120,45.58
406,EDWIN,120,31.42
407,JESUS ARMANDO,120,41.37
408,JUAN FERNANDO,120,40.23
409,JESUS EDUARDO,119,36.25
410,PRIMITIVO,119,48.76
411,ROQUE,119,45.25
412,TIMOTEO,118,45.89
413,VICTORIANO,118,49.12
414,FROYLAN,117,42.64
415,JOSE SANTOS,117,47.13
416,CARMELO,116,43.73
417,JOSE ANDRES,116,42.85
418,MELITON,116,48.54
419,ODILON,116,47.89
420,PEDRO PABLO,116,43.53
421,REFUGIO,116,48.06
422,URBANO,116,49.17
423,CRISPIN,115,47.13
424,INOCENCIO,115,48.25
425,JOSE GUILLERMO,115,44.59
426,OBED,115,36.79
427,ELADIO,114,47.3
428,FREDDY,113,37.19
429,LUIS ALFREDO,113,37.52
430,RUBEN DARIO,113,42.45
431,VALENTE,113,45.24
432,CONRADO,112,48.35
433,CRISTIAN,112,30.65
434,OSCAR MANUEL,112,40.92
435,RANULFO,112,46.41
436,JOSE REFUGIO,111,45.85
437,PEDRO ANTONIO,111,41.01
438,JOSE DOMINGO,110,39.32
439,LUIS ALEJANDRO,110,34.79
440,MAURILIO,110,46.91
441,ALBINO,109,47.13
442,SERGIO ANTONIO,109,40.87
443,JORGE IVAN,108,33.57
444,JORGE MANUEL,108,44
445,ROSALINO,108,45.72
446,BALDEMAR,107,44.51
447,ROSARIO,107,42.56
448,BLAS,106,47.06
449,FRANCISCO ANTONIO,106,40.04
450,IRVING,106,31.19
451,MIGUEL ANTONIO,106,42.05
452,SERGIO ARTURO,106,39.18
453,SIXTO,106,47.19
454,CARLOS HUMBERTO,105,43.36
455,LEONCIO,105,47.22
456,MARIO ANTONIO,105,42.31
457,JESUS SALVADOR,104,41.97
458,RENATO,104,43.02
459,JOSE PEDRO,103,45.31
460,MELCHOR,103,47.5
461,ALAN,102,31.84
462,CARLOS MARIO,102,41.28
463,ALEJO,101,47.68
464,APOLONIO,101,48.04
465,JAIRO,101,35.18
466,JUAN IGNACIO,101,42.32
467,MATIAS,101,48.22
468,CARLOS FRANCISCO,100,39.91
469,EMANUEL,100,31.99
470,JOSE ALONSO,100,37.97
471,JOSE RUBEN,100,45.84
472,LIBRADO,100,46.05
473,LUIS DANIEL,100,34.22
474,RUPERTO,100,47.38
475,WENCESLAO,100,45.6
476,AMANDO,99,47.87
477,ANTONIO DE JESUS,99,31.28
478,BRUNO,99,44.66
479,CUTBERTO,99,47.86
480,LUIS ALONSO,99,39.75
481,NAHUM,99,40.3
482,SILVINO,99,47.82
483,DONACIANO,98,47.47
484,EDER,98,30.11
485,ESAU,98,37.66
486,JUAN ANGEL,98,41.69
487,JUAN PEDRO,98,40.93
488,MAXIMILIANO,98,47.61
489,ARCADIO,97,47.38
490,EDGAR IVAN,97,30.26
491,GUSTAVO ADOLFO,97,40.35
492,JOSE FELIX,97,42.53
493,MELQUIADES,97,48.57
494,ROGER,97,42.4
495,CARLOS ALEJANDRO,96,35.94
496,JOSE GILBERTO,96,42.54
497,ZENON,96,47.77
498,JOSE ERNESTO,95,42.38
499,JOSE RODOLFO,95,45.53
500,LEANDRO,95,45.23
501,OMAR ALEJANDRO,95,31.41
502,FORTUNATO,94,46.34
503,HUGO ENRIQUE,94,32.59
504,JOSE FELIPE,94,46.4
505,JOSE JORGE,94,46.6
506,NAZARIO,94,45.35
507,ERASTO,93,48.1
508,JOSE ADRIAN,93,40.38
509,JOSE DOLORES,93,50.23
510,LUIS ROBERTO,93,39.29
511,OLEGARIO,93,46.99
512,SERGIO ALBERTO,93,37.73
513,ELFEGO,92,47.55
514,HIGINIO,92,46.79
515,J REFUGIO,92,47.45
516,SILVANO,92,46.37
517,BALDOMERO,91,46.15
518,JOSE IVAN,91,31.53
519,PLACIDO,91,47.09
520,DONATO,90,48.83
521,ELPIDIO,90,49.22
522,EULOGIO,90,47.21
523,JOSE ABEL,90,44.5
524,MARCO AURELIO,90,41.08
525,SOTERO,90,47.34
526,WILBERT,90,40.99
527,INOCENTE,89,47.85
528,AUGUSTO,88,42.76
529,CARLOS IVAN,88,30.66
530,JESUS JOSE,88,45.66
531,FACUNDO,87,47.34
532,OSCAR JAVIER,87,40.33
533,OTILIO,87,48.25
534,ANTELMO,86,47.38
535,JOSE CARMEN,86,50
536,MARCOS ANTONIO,86,42.37
537,DANTE,85,39.67
538,DIONISIO,85,49
539,FLORIBERTO,85,45.14
540,JOSE VICTOR,85,44.85
541,MIGUEL ANGE,85,44.29
542,ROMUALDO,85,47.35
543,TELESFORO,85,48.52
544,ASUNCION,84,44.01
545,ISAI,84,33.78
546,JUAN ARTURO,84,41.2
547,JUAN EDUARDO,84,37.88
548,LUIS RAUL,84,40.94
549,CESAR ALEJANDRO,83,34.3
550,JESUS RAMON,83,42.42
551,COSME,82,47.43
552,CRISOFORO,82,46.38
553,DAVID ALEJANDRO,82,32.3
554,JESUS ARTURO,82,40.16
555,JESUS FRANCISCO,82,41.98
556,JESUS GERARDO,82,42.41
557,JESUS JAVIER,82,39.05
558,JOSE ISRAEL,82,36.28
559,MARCIANO,82,48.63
560,SEVERO,82,48.11
561,HECTOR MIGUEL,81,32.94
562,JUSTO,81,48.65
563,OLIVER,81,33.67
564,CATARINO,80,48.44
565,LUIS MARTIN,80,42.81
566,TITO,80,47.54
567,CONCEPCION,79,46.12
568,PAUL,79,33.52
569,GIOVANNI,78,31
570,JOSE AGUSTIN,78,43.95
571,PEDRO ALBERTO,78,37.94
572,CARLOS ARMANDO,77,38.52
573,LUIS ERNESTO,77,38.23
574,MARIO ENRIQUE,77,42.08
575,REY DAVID,77,39.92
576,DANIEL ALBERTO,76,28.89
577,HIRAM,76,39.81
578,LEODEGARIO,76,44.99
579,TEODULO,76,48.45
580,AMADEO,75,43.64
581,ELIUD,75,39.48
582,FRANCISCO JAV,75,46.53
583,JUAN DANIEL,75,37.6
584,LAMBERTO,75,48.4
585,ABUNDIO,74,47.69
586,ALEXANDER,74,33.69
587,DIEGO ARMANDO,74,27.22
588,JOSE ELIAS,74,41.91
589,JOSE OMAR,74,37.38
590,JUAN JAVIER,74,45.61
591,LEON,74,47.87
592,ROMULO,74,48.26
593,SERGIO ALEJANDRO,74,35.08
594,SEVERIANO,74,46.84
595,AZAEL,73,37.59
596,FRANCISCO JOSE,73,44.84
597,HELADIO,73,45.41
598,JESUS ALFREDO,73,39.23
599,OTONIEL,73,40.19
600,SABAS,73,48.19
601,CESAR OCTAVIO,72,37.78
602,ELMER,72,38.76
603,GALDINO,72,46.37
604,GIL,72,48.03
605,JOSE INES,72,47.82
606,JUAN ROBERTO,72,43.57
607,MARTINIANO,72,49.33
608,NABOR,72,46.38
609,OSCAR EDUARDO,72,35.26
610,FRANCISCO MANUEL,71,41.06
611,JOSE REYES,71,45.31
612,JUVENCIO,71,46.51
613,OCTAVIANO,71,47.01
614,EDGAR EDUARDO,70,31.59
615,HERMELINDO,70,47.09
616,JORGE ALFREDO,70,38.84
617,JORGE CARLOS,70,41.67
618,JOSE ABRAHAM,70,40.33
619,JOSE CONCEPCION,70,49.44
620,JULIO ALBERTO,70,37.31
621,LUIS REY,70,43.11
622,MARINO,70,46.1
623,OLIVERIO,70,44.87
624,ONESIMO,70,45.74
625,OSCAR ALEJANDRO,70,35.33
626,VICTOR ALFONSO,70,29.8
627,ADELAIDO,69,48.51
628,BASILIO,69,46.07
629,CARLOS CESAR,69,40.91
630,LUIS JOSE,69,41.58
631,MARCO TULIO,69,39.2
632,PONCIANO,69,48.77
633,PRISCILIANO,69,48.75
634,SERGIO ENRIQUE,69,40.8
635,WILBER,69,35.99
636,ADELFO,68,44.75
637,ANTONINO,68,45.82
638,BERTIN,68,45.88
639,CASIMIRO,68,47.72
640,CESAREO,68,49.04
641,FRANCISCO J,68,46.93
642,ISABEL,68,43.94
643,JOSE OCTAVIO,68,42.6
644,LIBORIO,68,49.76
645,TIBURCIO,68,48.62
646,CALIXTO,67,48.34
647,EMETERIO,67,46.07
648,HUGO CESAR,67,36.29
649,IRINEO,67,46.85
650,JACOB,67,38.61
651,CAYETANO,66,48.09
652,ELIEZER,66,41.24
653,ERNESTO ALONSO,66,39.42
654,ISAURO,66,44.86
655,J ISABEL,66,50.83
656,JAIR,66,32.06
657,JAVIER ALEJANDRO,66,33.38
658,JESUS FERNANDO,66,37.18
659,JOSE ESTEBAN,66,46.38
660,PERFECTO,66,49.47
661,WILLIAM,66,34.95
662,CARLOS RAFAEL,65,39.46
663,EDGAR ALEJANDRO,65,33.43
664,EDGAR OMAR,65,32.83
665,GELACIO,65,41.35
666,JESUS MARTIN,65,43.69
667,JESUS MIGUEL,65,36.66
668,MARCO ANTONI,65,45.72
669,OSCAR DANIEL,65,33.49
670,AMBROSIO,64,50.14
671,AMILCAR,64,41.58
672,AUSENCIO,64,46.48
673,BLADIMIR,64,35.68
674,CARLOS ROBERTO,64,37.95
675,ELI,64,40.45
676,JESUS GUADALUPE,64,36.88
677,JESUS ROBERTO,64,39.81
678,JUAN BAUTISTA,64,46.17
679,MANUEL ALBERTO,64,39.27
680,FULGENCIO,63,50.46
681,JESUS ALFONSO,63,39.68
682,JESUS IVAN,63,30.43
683,JOSE OSCAR,63,43.97
684,JUAN ANDRES,63,39.83
685,MARIO HUMBERTO,63,43.77
686,MARTIN ANTONIO,63,44.52
687,NATALIO,63,44.13
688,OSIEL,63,38.28
689,ALEXIS,62,33.11
690,CARLOS DANIEL,62,35.48
691,CARMEN,62,45.56
692,CESAR IVAN,62,29.82
693,GUMARO,62,46.03
694,JUAN ALEJANDRO,62,37.45
695,MANUEL ENRIQUE,62,40.56
696,MANUEL SALVADOR,62,43.89
697,SERGIO ARMANDO,62,39.82
698,BRIGIDO,61,46.87
699,FRANCISCO ALBERTO,61,42.77
700,FREDI,61,44.1
701,IVAN DE JESUS,61,29.18
702,JESUS DANIEL,61,34.49
703,JOSE EFRAIN,61,43.67
704,JOSE RODRIGO,61,38.61
705,LEONIDES,61,46.18
706,LUIS GUILLERMO,61,38.82
707,LUIS RICARDO,61,37.4
708,ATANACIO,60,49.12
709,AVELINO,60,48.38
710,CATALINO,60,44.82
711,CELERINO,60,45.07
712,CESAR ANTONIO,60,36.65
713,FRANCISCO ALEJANDRO,60,38.8
714,J CARMEN,60,48.95
715,J FELIX,60,49.97
716,JESUS HUMBERTO,60,39.3
717,JOSE JULIAN,60,38.27
718,JOSE VICENTE,60,44.6
719,JUAN RICARDO,60,40
720,MIGUEL ALEJANDRO,60,34.53
721,PANFILO,60,46.95
722,REMIGIO,60,48.57
723,REY,60,42.95
724,ALEJANDRINO,59,46.68
725,ANTOLIN,59,46.14
726,CARLOS MARTIN,59,40.12
727,ESTANISLAO,59,47.63
728,GASTON,59,44.44
729,HELIODORO,59,49.17
730,JORGE ERNESTO,59,41.14
731,SILVIANO,59,45.12
732,ABIMAEL,58,35.4
733,ANICETO,58,48.05
734,CRISTINO,58,49.72
735,FRANCO,58,44.86
736,JESUS ANGEL,58,41.92
737,JOSE HUGO,58,43.26
738,LUIS RAMON,58,39.45
739,RUTILIO,58,44.88
740,DAMASO,57,46.23
741,FELIPE JESUS,57,44.74
742,LUIS ADRIAN,57,34.33
743,LUIS DAVID,57,36.39
744,SAID,57,34.49
745,TORIBIO,57,47.81
746,WALTER,57,41.04
747,CAMERINO,56,47.26
748,CARLOS ADRIAN,56,34.84
749,DANIEL ALEJANDRO,56,29.32
750,DARINEL,56,42.53
751,DOROTEO,56,46.64
752,FRANCISCO JAVI,56,47
753,FRANCISCO JAVIE,56,45.62
754,JESUS DAVID,56,37.88
755,JONATAN,56,31.71
756,JORGE FRANCISCO,56,39.46
757,JOSE EMILIO,56,45.95
758,JOSE PABLO,56,43.25
759,LADISLAO,56,48.8
760,LUIS IGNACIO,56,44.51
761,MILTON,56,34.73
762,OSBALDO,56,40.89
763,SERGIO IVAN,56,30.27
764,TIRSO,56,47.41
765,VICTOR ANTONIO,56,39.77
766,ZACARIAS,56,48.56
767,AQUILINO,55,43.8
768,CARLOS ALFONSO,55,40.27
769,CARLOS FERNANDO,55,37.09
770,EVODIO,55,43.91
771,J. REFUGIO,55,49.87
772,JAIME ALBERTO,55,39.35
773,JEREMIAS,55,39.89
774,JESUS ERNESTO,55,38.56
775,OSCAR ALBERTO,55,35.85
776,PABLO CESAR,55,35.85
777,PASTOR,55,48.61
778,REGINO,55,46.29
779,RUBICEL,55,40.61
780,CARLOS ERNESTO,54,35.72
781,ELVIS,54,39.05
782,FRANCISCO JA,54,46.48
783,HECTOR DANIEL,54,36.41
784,LUIS GABRIEL,54,38.8
785,MARIO ALEJANDRO,54,38.15
786,MARIO ARTURO,54,42.07
787,CARLOS ANDRES,53,33.34
788,CARLOS MIGUEL,53,40.45
789,CESAR ALBERTO,53,34.05
790,HECTOR ALEJANDRO,53,37.98
791,JESUS MARIA,53,48.42
792,JUAN DAVID,53,39.3
793,MAYOLO,53,44.26
794,NAPOLEON,53,43.17
795,RUTILO,53,46.04
796,BARTOLOME,52,45.69
797,CARLOS ALFREDO,52,38.94
798,HECTOR EDUARDO,52,39.33
799,JESUS ADRIAN,52,33.67
800,JONAS,52,41.46
801,JORGE DAVID,52,37.81
802,JOSE ISMAEL,52,42.56
803,JOSE JOAQUIN,52,42.9
804,NATIVIDAD,52,44.02
805,OSCAR FERNANDO,52,37.81
806,TERESO,52,50.02
807,VICTOR DANIEL,52,35
808,VICTOR JAVIER,52,41.17
809,ASCENCION,51,48.77
810,CARLOS AUGUSTO,51,37.61
811,CARLOS OMAR,51,35
812,CESAR EDUARDO,51,35.06
813,CESAR ENRIQUE,51,38.55
814,DESIDERIO,51,46.16
815,HEBER,51,36.6
816,HERON,51,47.33
817,J. CARMEN,51,50.71
818,JENARO,51,46.08
819,JESUS RICARDO,51,39.18
820,JOSE RENE,51,43.12
821,JUAN JAIME,51,42.69
822,JULIO ANTONIO,51,41.49
823,MIGUEL ANG,51,45.92
824,RAMON ALBERTO,51,39.02
825,REYMUNDO,51,40.78
826,ARQUIMIDES,50,38.76
827,FILOGONIO,50,47.65
828,JESUS RAFAEL,50,42.02
829,JOSE GREGORIO,50,47.16
830,NEMESIO,50,47.68
831,OSCAR ENRIQUE,50,37.68
832,RITO,50,49.78
833,TAURINO,50,47.76
834,ELIEL,49,36.29
835,ENOC,49,40.92
836,HERACLIO,49,47.06
837,JESUS MARIO,49,42.16
838,JOSE ADAN,49,42.88
839,JOSE GUSTAVO,49,45.9
840,JUAN GUILLERMO,49,42.61
841,LEOVIGILDO,49,44.82
842,LUIS OCTAVIO,49,39.43
843,VICTOR MANUE,49,46.71
844,ABAD,48,44
845,BELISARIO,48,44.92
846,EVELIO,48,46.21
847,EVER,48,38.88
848,GUALBERTO,48,39.81
849,INDALECIO,48,49.17
850,J SANTOS,48,50.56
851,J TRINIDAD,48,52.92
852,JOSE EDGAR,48,36.85
853,JOSE NOE,48,42.23
