_id,apellido,frec_pri,frec_seg
363,ONTIVEROS,480,483
364,VICENTE,477,488
365,CHAVARRIA,476,503
366,MONTALVO,475,517
367,RUEDA,475,396
368,GORDILLO,474,433
369,LIMA,474,429
370,NORIEGA,474,414
371,CASAS,473,467
372,ROLDAN,472,414
373,CEDILLO,471,601
374,RAMON,471,407
375,BRITO,470,539
376,CARDONA,470,415
377,DORANTES,469,409
378,SAENZ,469,480
379,ANGULO,467,546
380,BRIONES,467,483
381,PUENTE,466,471
382,HINOJOSA,464,403
383,DE LA TORRE,463,478
384,YAÑEZ,462,486
385,MATUS,461,404
386,MOTA,461,447
387,FRANCISCO,457,393
388,TEJEDA,457,442
389,GARRIDO,456,466
390,PERALES,455,344
391,REYNOSO,455,465
392,GALEANA,454,457
393,MIGUEL,454,465
394,PULIDO,450,470
395,ALCALA,447,372
396,LIMON,445,456
397,NERI,445,438
398,NOLASCO,445,506
399,TREVIÑO,445,417
400,CADENA,440,440
401,MANZANO,434,371
402,PRADO,433,485
403,GONGORA,432,431
404,AVENDAÑO,428,376
405,VALLEJO,428,461
406,ALMANZA,426,375
407,ARGUELLES,423,377
408,BASILIO,423,296
409,LINARES,422,425
410,SARMIENTO,422,418
411,ALANIS,420,377
412,BETANCOURT,420,462
413,TRINIDAD,420,466
414,DAMIAN,419,367
415,MIRELES,419,442
416,FRIAS,418,471
417,JAIME,418,422
418,ANGEL,417,372
419,ARAUJO,417,409
420,MONTAÑO,417,374
421,PAEZ,416,371
422,VELASQUEZ,411,407
423,NEGRETE,410,409
424,CASTREJON,409,394
425,DZUL,409,416
426,PRIETO,409,376
427,RIVERO,406,387
428,MUNGUIA,404,342
429,MANCILLA,403,381
430,VELA,403,353
431,ANGUIANO,402,440
432,CAMARILLO,402,387
433,VIVEROS,402,476
434,VERDUGO,401,347
435,AMARO,398,378
436,MAYA,398,424
437,NARVAEZ,397,364
438,BERMUDEZ,395,389
439,CAMARGO,395,385
440,NICOLAS,395,404
441,SOLORZANO,395,395
442,CORRAL,393,474
443,MAGAÑA,393,423
444,TENORIO,393,390
445,ESPINO,392,407
446,JACOBO,390,450
447,SALDIVAR,390,427
448,OLMOS,389,360
449,CANCHE,388,410
450,AMAYA,387,421
451,MOCTEZUMA,385,441
452,OLIVA,385,338
453,POOT,385,356
454,BURGOS,384,436
455,BARBOSA,381,352
456,RUVALCABA,381,393
457,SEGOVIA,379,359
458,MELO,378,401
459,OROPEZA,378,400
460,LIZARRAGA,377,392
461,LARIOS,375,342
462,GASTELUM,374,370
463,LUCERO,374,365
464,ROBLERO,374,411
465,SALMERON,373,340
466,BANDA,371,342
467,ORNELAS,369,388
468,BARCENAS,368,392
469,SANTAMARIA,368,326
470,AREVALO,367,330
471,OVANDO,366,361
472,LORENZO,365,403
473,MARES,364,365
474,ALEJANDRO,361,353
475,CERDA,360,390
476,FIERRO,360,386
477,ALMAZAN,358,341
478,CATALAN,357,345
479,KU,357,361
480,MU!OZ,357,388
481,LANDA,354,383
482,VALDIVIA,352,347
483,GASPAR,350,350
484,GIRON,348,298
485,LOZADA,348,263
486,SANTOYO,347,307
487,NOVELO,346,313
488,CORONEL,345,288
489,LEDESMA,345,379
490,LOERA,344,352
491,PARTIDA,343,352
492,SORIA,343,353
493,ZUNIGA,343,373
494,BALAM,342,346
495,ALBARRAN,341,342
496,TELLO,341,363
497,AGUAYO,339,298
498,OLIVAS,339,346
499,MUÑIZ,335,360
500,ACEVES,334,273
501,RUELAS,332,348
502,ALMARAZ,331,287
503,PATIÑO,331,331
504,CAAMAL,328,369
505,ESTRELLA,328,320
506,CLEMENTE,327,337
507,CORNEJO,327,329
508,ZAMBRANO,327,331
509,CEPEDA,326,292
510,MELCHOR,326,311
511,SIFUENTES,323,322
512,LUCAS,322,320
513,BARRAZA,320,346
514,CASTILLEJOS,320,333
515,MARROQUIN,319,392
516,BOJORQUEZ,317,315
517,LLAMAS,316,285
518,LUCIO,316,314
519,ALDANA,315,297
520,PEDROZA,315,343
521,ALCANTAR,314,349
522,MONTEJO,314,324
523,HIGUERA,313,323
524,TOLENTINO,312,309
525,MEDELLIN,310,238
526,TAMAYO,310,323
527,LAGUNAS,309,305
528,PLATA,309,275
529,QUEVEDO,309,251
530,TIRADO,309,305
531,CHABLE,307,329
532,GARDUÑO,307,287
533,LEDEZMA,306,358
534,OLIVERA,306,278
535,MENDIETA,304,275
536,LEMUS,303,288
537,PIMENTEL,303,334
538,BENAVIDES,302,283
539,ARMENDARIZ,301,274
540,ORDOÑEZ,301,259
541,PUGA,301,279
542,CALVO,300,309
543,GAONA,299,305
544,BUENO,298,347
545,CENTENO,298,260
546,NARANJO,298,298
547,PORRAS,298,277
548,CANALES,297,291
549,PEREA,297,332
550,RAZO,297,257
551,REGALADO,297,301
552,MADRID,295,327
553,MANRIQUEZ,295,305
554,MOJICA,295,268
555,TUN,295,331
556,ALBA,294,300
557,ESCUDERO,294,283
558,SARABIA,294,312
559,ASTUDILLO,293,246
560,PANTOJA,293,350
561,ULLOA,293,248
562,CANTO,292,274
563,CAUICH,292,347
564,BALLESTEROS,290,266
565,LOYA,289,291
566,OLMEDO,289,257
567,CALIXTO,288,228
568,GARAY,288,252
569,OLEA,288,270
570,PRECIADO,288,313
571,NIEVES,287,291
572,ROJO,287,340
573,ZAVALETA,287,304
574,COLLI,286,244
575,CURIEL,286,329
576,LERMA,286,271
577,LUEVANO,284,220
578,PLASCENCIA,283,269
579,VILCHIS,283,357
580,CONDE,282,260
581,EUAN,282,245
582,CANCINO,280,253
583,DE LA FUENTE,280,300
584,SERVIN,280,256
585,DZIB,279,278
586,OVIEDO,279,283
587,CRESPO,278,258
588,FAJARDO,277,227
589,JAUREGUI,277,257
590,LANDEROS,277,307
591,BLAS,275,278
592,ELIAS,275,282
593,MARCIAL,274,247
594,CASTELAN,273,295
595,BAEZA,272,288
596,ELIZALDE,272,315
597,MERAZ,272,315
598,TINOCO,272,257
599,DE SANTIAGO,271,241
600,PINTO,271,270
601,BERNABE,270,298
602,ELIZONDO,269,255
603,AHUMADA,267,258
604,JURADO,267,259
605,MOYA,266,210
606,CARVAJAL,265,267
607,DIEGO,265,287
608,ARGUELLO,264,267
609,BOLAÑOS,263,252
610,POLANCO,263,254
611,JACINTO,262,279
612,LOMELI,261,285
613,CALVILLO,260,222
614,GODOY,260,264
615,TERRAZAS,260,242
616,ANTUNEZ,259,219
617,AZUARA,259,254
618,ECHEVERRIA,259,247
619,MAYORGA,259,263
620,DE LA O,258,289
621,HARO,257,279
622,PELAEZ,256,218
623,ARIZMENDI,255,226
624,CARBALLO,255,283
625,JERONIMO,255,196
626,BOCANEGRA,254,255
627,VICTORIA,254,242
628,ZACARIAS,254,233
629,GALAVIZ,253,252
630,QUIJANO,252,236
631,PERAZA,251,254
632,MACEDO,250,200
633,ARCINIEGA,249,237
634,CELIS,249,246
635,GASCA,249,228
636,MOSQUEDA,249,301
637,ZAZUETA,249,275
638,MANUEL,248,234
639,MENDIOLA,248,240
640,OVALLE,248,222
641,SEPULVEDA,248,221
642,GARDUNO,247,258
643,ZURITA,247,243
644,CARDOSO,246,288
645,ARZATE,244,198
646,FALCON,244,209
647,ARVIZU,243,211
648,CAN,243,226
649,ESPINDOLA,243,180
650,LAZCANO,243,202
651,MANRIQUE,243,237
652,PUC,243,259
653,MAYO,242,233
654,VALLES,242,208
655,MATEOS,241,255
656,PASTRANA,241,231
657,ALEJO,240,216
658,DE LUNA,240,208
659,LOREDO,240,224
660,ALEGRIA,239,271
661,MATIAS,239,347
662,CALZADA,237,233
663,CAVAZOS,237,207
664,EK,237,192
665,FRAGOSO,237,250
666,PALOMO,236,244
667,SALCEDO,236,274
668,VILLAVICENCIO,236,182
669,ALAMILLA,235,237
670,INFANTE,235,248
671,REZA,235,267
672,AGUILA,234,185
673,CORRALES,234,245
674,PICHARDO,234,277
675,PABLO,233,244
676,BAÑUELOS,232,270
677,BLANCAS,232,228
678,CAMARENA,232,219
679,GUAJARDO,231,243
680,VILLAGOMEZ,231,258
681,CANSECO,230,195
682,CASARRUBIAS,230,201
683,ESTEBAN,230,234
684,GALAN,230,206
685,ORTA,230,287
686,ACUÑA,229,321
687,COBOS,227,242
688,JOSE,227,322
689,MANDUJANO,227,208
690,GARIBAY,226,204
691,BOBADILLA,225,177
692,FRAUSTO,224,201
693,MARCOS,224,199
694,MOO,224,269
695,ZENTENO,224,218
696,CABELLO,223,221
697,MIJANGOS,223,204
698,PARDO,223,229
699,SALCIDO,223,147
700,LICONA,222,231
701,PALAFOX,222,291
702,VALERIO,222,258
703,MANJARREZ,221,257
704,BASURTO,220,186
705,IZQUIERDO,220,207
706,LAGUNA,220,242
707,PANIAGUA,220,236
708,ROA,220,189
709,CID,219,215
710,AKE,218,204
711,CAMARA,218,200
712,CHAPARRO,218,231
713,HOLGUIN,218,227
714,JAVIER,218,209
715,JULIAN,218,170
716,LUJAN,218,203
717,PALOMINO,218,205
718,QUIÑONES,218,263
719,ARAIZA,217,269
720,CALVA,217,195
721,SIMON,217,217
722,ZAMARRIPA,216,198
723,PALOMARES,215,222
724,CONSTANTINO,214,217
725,FELIPE,214,220
726,CALLEJAS,213,245
727,CAMPUZANO,213,175
728,ISIDRO,213,193
729,LEZAMA,213,227
730,ALAVEZ,212,153
731,LAGUNES,212,204
732,ARANA,211,209
733,MARISCAL,210,256
734,PASCUAL,210,220
735,MIRAMONTES,209,182
736,NU!EZ,209,229
737,PADRON,209,230
738,VILLALBA,209,169
739,CEJA,208,253
740,POZOS,208,204
741,ARRIETA,207,167
742,CORDOBA,207,214
743,SANTACRUZ,207,198
744,BUSTILLOS,206,176
745,CASANOVA,206,252
746,CRISTOBAL,206,188
747,FABIAN,206,198
748,JARA,206,175
749,MAR,206,205
750,SEVILLA,206,225
751,GAMA,205,181
752,POOL,204,192
753,ZAMORANO,204,220
754,LECHUGA,203,191
755,VELARDE,203,200
756,BALBUENA,202,196
757,FARIAS,202,244
758,VIRGEN,202,227
759,BARRETO,201,235
760,HIPOLITO,201,209
761,CARLOS,200,240
762,IBAÑEZ,200,221
763,RADILLA,200,220
764,URIAS,200,168
765,ASCENCIO,199,224
766,GARCES,199,193
767,ALMEIDA,198,205
768,BARRANCO,198,178
769,DEL VALLE,198,243
770,USCANGA,198,197
771,PAT,196,203
772,CASTA!EDA,195,178
773,GRIMALDO,195,208
774,MACIEL,195,213
775,VILLEDA,195,164
776,MU%OZ,194,226
777,HUCHIN,193,168
778,MATEO,193,152
779,NIÑO,193,189
780,BARBA,192,205
781,MAGANA,192,204
782,REBOLLEDO,192,199
783,DIMAS,191,173
784,LOBATO,190,165
785,MEDEL,190,187
786,ONOFRE,190,196
787,VELAZCO,190,234
788,YANEZ,190,228
789,ALONZO,188,253
790,GRAJALES,188,208
791,IZAGUIRRE,188,185
792,NEVAREZ,188,209
793,ABURTO,187,213
794,BAÑOS,187,180
795,MOGUEL,187,186
796,VIZCARRA,187,199
797,CHAVIRA,186,187
798,VENCES,186,135
799,CASTAÑON,185,171
800,DAVALOS,185,203
801,RODARTE,185,152
802,BAZAN,184,189
803,BUENDIA,184,185
804,MARMOLEJO,184,197
805,OZUNA,184,182
806,RASCON,184,179
807,AMBROSIO,183,176
808,JARQUIN,183,186
809,MAGALLANES,183,191
810,SEGUNDO,183,178
811,UGALDE,183,248
812,DEL RIO,182,156
813,MAGDALENO,182,192
814,MANZO,182,185
815,ZALDIVAR,182,154
816,BAILON,181,180
817,VALVERDE,181,153
818,BALLINAS,180,181
819,CARRIZALES,180,194
820,BACA,179,148
821,JUAN,179,278
822,LOEZA,179,210
823,MONREAL,179,188
824,GATICA,178,213
825,LOZA,178,189
826,OTERO,178,188
827,CARRO,177,171
828,GRACIA,177,215
829,OBREGON,177,213
830,PELAYO,177,205
831,POSADAS,177,143
832,MONTELONGO,176,194
833,PLIEGO,176,189
834,TOSCANO,176,153
835,VALLADARES,176,185
836,YAM,176,151
837,ALCAZAR,175,159
838,ESPIRITU,175,118
839,MENDIVIL,175,198
840,VILLASEÑOR,175,160
841,GALARZA,174,181
842,NU%EZ,174,181
843,SALDANA,174,193
844,ZEMPOALTECA,174,145
845,BARROSO,173,163
846,CARO,173,199
847,DE LA GARZA,173,176
848,GAXIOLA,172,148
849,MOROYOQUI,172,229
850,VILLALPANDO,172,167
851,FERIA,171,103
852,GURROLA,171,145
853,PARADA,171,146
854,GERONIMO,170,161
855,QUINTAL,170,135
856,SOLORIO,170,168
857,AGUSTIN,169,184
858,GARNICA,169,190
859,SAMANO,169,168
860,SAUCEDA,169,159
861,BARTOLO,168,135
862,BETANZOS,168,140
863,FAVELA,168,139
864,ANDRES,167,213
865,PINA,167,219
866,VILLAFUERTE,167,181
867,ALVA,166,163
868,MONCADA,166,188
869,SOBERANIS,166,158
870,DE LA PAZ,165,177
871,MERIDA,165,149
872,BOTELLO,164,171
873,FERRER,164,144
874,IGLESIAS,164,168
875,MORELOS,164,161
876,UICAB,164,163
877,VICENCIO,164,143
878,BALCAZAR,163,175
879,MONTESINOS,163,143
880,ENCISO,162,161
881,PORTILLA,162,125
882,CERVERA,161,143
883,DURON,161,151
884,BARRADAS,160,159
885,CHAPA,160,148
886,FARFAN,160,143
887,MAZA,160,158
888,PEREYRA,160,139
889,ARIZA,159,123
890,BRUNO,159,101
891,LANDERO,159,174
892,LEIJA,159,137
893,PE%A,159,143
894,BENITO,158,138
895,BUENROSTRO,158,145
896,CARPIO,158,156
897,CASTA%EDA,158,135
898,CUENCA,158,149
899,CETINA,157,160
900,COLORADO,157,171
901,CORZO,157,129
902,HILARIO,157,167
903,TINAJERO,157,134
904,ALBORES,156,150
905,KANTUN,156,166
906,OLAN,156,122
907,RODAS,156,173
908,ROMANO,156,187
909,VERDUZCO,156,170
910,MICHEL,155,151
911,AMBRIZ,154,142
912,DIRCIO,154,148
913,MAYORAL,154,169
914,ANZURES,153,121
915,BRISEÑO,153,178
916,GUARDADO,153,178
917,MENCHACA,153,140
918,MURO,153,165
919,ORDONEZ,153,161
920,PINZON,153,183
921,SEBASTIAN,153,156
922,AVILEZ,152,168
923,CALLEJA,152,158
924,VILLAR,152,155
925,WONG,152,132
926,DE DIOS,151,157
927,VIVAS,151,152
928,MAURICIO,150,158
929,MONSIVAIS,150,135
930,BALDERRAMA,149,149
931,ENCARNACION,149,178
932,PAYAN,149,199
933,VIDALES,149,121
934,ZU%IGA,149,123
935,ALATORRE,148,161
936,BALAN,148,113
937,CUETO,148,143
938,DUEÑAS,148,152
939,ESCALONA,148,164
940,ESTUDILLO,148,148
941,MANCERA,148,131
942,PAVON,148,137
943,TUZ,148,156
944,URIOSTEGUI,148,178
945,ARJONA,147,112
946,RAYA,147,135
947,SAMANIEGO,147,159
948,YEPEZ,147,123
949,CABRAL,146,84
950,MONTANO,146,160
951,MURGUIA,146,114
952,VALERA,146,139
953,VILLATORO,146,155
954,HUITRON,145,138
955,MINOR,145,94
956,MONTES DE OCA,145,125
957,REAL,145,134
958,REBOLLAR,145,136
959,SAN,145,134
960,SERRATO,145,126
961,ARCEO,144,106
962,GRANDE,144,142
963,MURRIETA,143,149
964,CAYETANO,142,157
965,COUOH,142,142
966,CUERVO,142,112
967,FIERROS,142,160
968,OCAÑA,142,144
969,QUINTANAR,142,127
970,QUINTANILLA,142,184
971,ALDAMA,141,108
972,LUCIANO,141,111
973,TADEO,141,113
974,TORAL,141,128
975,VALDOVINOS,141,125
976,CAB,140,100
977,CARREÑO,140,141
978,IGNACIO,140,124
979,PERERA,140,141
980,PRIEGO,140,121
981,TALAVERA,140,101
982,TERRONES,140,111
983,ADAN,139,154
984,ARREGUIN,139,116
985,ENCINAS,139,124
986,GARZON,139,128
987,MELGAREJO,139,97
988,PINO,139,121
989,ABAD,138,110
990,ABREGO,138,148
991,AGUERO,138,148
992,CERINO,138,149
993,JACOME,138,127
994,NOYOLA,138,134
995,PASTOR,138,119
996,VALENTIN,138,169
997,AMEZCUA,137,174
998,BASTIDA,137,121
999,CHARLES,137,170
1000,CHUC,137,194
1001,CORPUS,137,101
1002,RONQUILLO,137,115
1003,ALFONSO,136,139
1004,BEJARANO,136,123
1005,SUASTEGUI,136,132
1006,CHIMAL,135,89
1007,NOH,135,175
1008,NUCAMENDI,135,175
1009,ALMAGUER,134,149
1010,BORJA,134,169
1011,CAMPA,134,120
1012,CANDIA,134,120
1013,DIAZ DE LEON,134,94
1014,HOYOS,134,63
1015,REA,134,145
1016,VACA,134,116
1017,JUSTO,133,128
1018,VIERA,133,114
1019,GREGORIO,132,119
1020,INZUNZA,132,110
1021,VILLAGRAN,132,100
1022,COLUNGA,131,140
1023,JAQUEZ,131,107
1024,ZETINA,131,158
1025,CASTORENA,130,146
1026,CERECEDO,130,132
1027,PATRICIO,130,179
1028,QUIÑONEZ,130,171
1029,RIZO,130,154
1030,VIEYRA,130,107
1031,ALLENDE,129,102
1032,CEN,129,126
1033,CORIA,129,128
1034,CUAPIO,129,94
1035,GERARDO,129,166
1036,RASGADO,129,133
1037,VARA,129,90
1038,YOCUPICIO,129,154
1039,AGUIAR,128,145
1040,GABRIEL,128,140
1041,LIEVANO,128,141
1042,TIBURCIO,128,107
1043,VALTIERRA,128,126
1044,CELAYA,127,146
1045,FREGOSO,127,130
1046,TALAMANTES,127,163
1047,VALERO,127,142
1048,VERDIN,127,135
1049,VILLELA,127,161
1050,ALVARO,126,127
1051,BUENFIL,126,144
1052,CHE,126,112
1053,LIZAMA,126,143
1054,OCEGUEDA,126,87
1055,SALOMON,126,143
1056,VIGUERAS,126,116
1057,AYON,125,142
1058,BARRERAS,125,148
1059,BORGES,125,98
1060,HUESCA,125,90
1061,MAGA%A,125,106
1062,MARRUFO,125,131
1063,QUIROGA,125,128
1064,CARRETO,124,118
1065,PUENTES,124,145
1066,ARMAS,123,136
1067,CONCHA,123,88
1068,MERA,123,87
1069,VIVAR,123,121
1070,GRIJALVA,122,131
1071,HERMOSILLO,122,118
1072,MUNIZ,122,139
